Estado;"""(""";""")""";""",""";""":""";""";""";"""?""";"""[""";"""]""";"""boolean""";"""character""";"""declarations""";"""end Functions""";"""endDeclararions""";"""endFunction""";"""endProgram""";"""funcType""";"""functionName""";"""functions""";"""intConst""";"""integer""";"""paramType""";"""program""";"""programName""";"""real""";"""string""";"""varType""";"""variable""";"""void""";Command;intConst;e
148;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[149];[];[];[];[];[];[];[];[];[];[];[];[]
149;[];[];[];[];[];[];[];[150];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
15;[];[];[16];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[12]
150;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[147]
151;[];[];[152];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[158]
152;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[153];[];[];[];[]
153;[];[];[];[];[];[];[155];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[154]
154;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[151]
155;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[156];[];[];[];[];[];[];[];[];[];[];[];[]
156;[];[];[];[];[];[];[];[157];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
157;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[154]
158;[];[];[];[];[159];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[136]
159;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[160];[];[];[];[];[];[];[];[];[];[]
16;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[17];[];[];[];[]
